,B06009_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B06010_001E,B06010_002E,B06010_004E,B06010_005E,B06010_006E,B06010_007E,B06010_008E,B06010_009E,B06010_010E,B06010_011E,B09010_001E,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P004002,P013001,P013002,P013003,P015001,P017001,P031001
1046,3555.0,664.0,1083.0,1232.0,405.0,171.0,4275.0,653.0,796.0,269.0,501.0,490.0,581.0,423.0,92.0,470.0,1762.0,,,,,,,,,,,,,,,
1047,3911.0,316.0,1477.0,1372.0,562.0,184.0,4510.0,379.0,722.0,446.0,736.0,663.0,721.0,369.0,138.0,336.0,1281.0,,,,,,,,,,,,,,,
1048,1461.0,228.0,440.0,496.0,224.0,73.0,1686.0,119.0,248.0,178.0,299.0,240.0,255.0,121.0,41.0,185.0,586.0,,,,,,,,,,,,,,,
1049,2490.0,308.0,923.0,845.0,309.0,105.0,2824.0,217.0,535.0,286.0,598.0,473.0,330.0,218.0,33.0,134.0,729.0,,,,,,,,,,,,,,,
1050,1852.0,266.0,681.0,662.0,158.0,85.0,2338.0,276.0,339.0,245.0,468.0,243.0,385.0,149.0,79.0,154.0,720.0,,,,,,,,,,,,,,,
1051,3972.0,386.0,1466.0,1482.0,528.0,110.0,4668.0,620.0,798.0,478.0,681.0,713.0,599.0,376.0,190.0,213.0,1042.0,,,,,,,,,,,,,,,
1052,43237.0,5312.0,12514.0,16755.0,5873.0,2783.0,51413.0,4980.0,9383.0,5196.0,8450.0,6633.0,7674.0,4325.0,1468.0,3304.0,14462.0,,,,,,,,,,,,,,,
1053,18253.0,2267.0,5960.0,6940.0,2161.0,925.0,21628.0,2026.0,3448.0,2303.0,3748.0,2800.0,3162.0,2083.0,538.0,1520.0,6492.0,,,,,,,,,,,,,,,
1054,6194.0,539.0,1916.0,2426.0,772.0,541.0,7438.0,493.0,1376.0,791.0,1342.0,971.0,1165.0,702.0,128.0,470.0,2067.0,,,,,,,,,,,,,,,
1055,5113.0,506.0,1947.0,1791.0,645.0,224.0,6508.0,701.0,1173.0,615.0,1102.0,750.0,1082.0,525.0,207.0,353.0,1574.0,,,,,,,,,,,,,,,
1056,2062.0,361.0,557.0,757.0,286.0,101.0,2389.0,240.0,328.0,192.0,311.0,348.0,472.0,260.0,47.0,191.0,692.0,,,,,,,,,,,,,,,
1057,2503.0,766.0,464.0,833.0,295.0,145.0,3111.0,491.0,506.0,217.0,465.0,500.0,403.0,224.0,64.0,241.0,1179.0,,,,,,,,,,,,,,,
1058,1163.0,76.0,361.0,448.0,206.0,72.0,1387.0,100.0,206.0,106.0,302.0,152.0,212.0,137.0,29.0,143.0,407.0,,,,,,,,,,,,,,,
1059,2294.0,210.0,693.0,860.0,347.0,184.0,2580.0,147.0,416.0,280.0,509.0,333.0,394.0,179.0,121.0,201.0,642.0,,,,,,,,,,,,,,,
1060,3302.0,484.0,1000.0,938.0,630.0,250.0,3949.0,276.0,585.0,217.0,564.0,363.0,781.0,431.0,146.0,586.0,1231.0,,,,,,,,,,,,,,,
1061,8329.0,846.0,2741.0,2752.0,1356.0,634.0,9935.0,809.0,1793.0,1116.0,1742.0,1381.0,1277.0,954.0,209.0,654.0,2587.0,,,,,,,,,,,,,,,
1062,10777.0,877.0,3362.0,4449.0,1173.0,916.0,12828.0,1437.0,2054.0,1496.0,2184.0,1873.0,1683.0,1014.0,284.0,803.0,4038.0,,,,,,,,,,,,,,,
1063,6564.0,439.0,2583.0,2152.0,878.0,512.0,7602.0,649.0,1376.0,630.0,1399.0,1129.0,1047.0,674.0,184.0,514.0,2495.0,,,,,,,,,,,,,,,
1064,4109.0,212.0,1501.0,1482.0,682.0,232.0,4832.0,531.0,701.0,381.0,639.0,884.0,679.0,489.0,131.0,397.0,1440.0,,,,,,,,,,,,,,,
1065,3769.0,257.0,1367.0,1334.0,570.0,241.0,4406.0,266.0,718.0,440.0,819.0,698.0,686.0,371.0,131.0,277.0,1265.0,,,,,,,,,,,,,,,
1066,37648.0,1556.0,6569.0,12387.0,9250.0,7886.0,64573.0,7208.0,16114.0,5002.0,9918.0,7831.0,6911.0,4528.0,1866.0,5195.0,12736.0,,,,,,,,,,,,,,,
1067,3411.0,252.0,1207.0,1272.0,393.0,287.0,3865.0,267.0,600.0,495.0,604.0,493.0,526.0,412.0,85.0,383.0,1175.0,,,,,,,,,,,,,,,
1068,2165.0,189.0,694.0,808.0,318.0,156.0,2421.0,127.0,404.0,272.0,474.0,352.0,373.0,144.0,66.0,209.0,553.0,,,,,,,,,,,,,,,
1069,13182.0,1290.0,4540.0,4606.0,1937.0,809.0,15306.0,1378.0,2522.0,1533.0,2419.0,2111.0,2422.0,1525.0,455.0,941.0,4633.0,,,,,,,,,,,,,,,
1070,13175.0,979.0,5184.0,4219.0,1887.0,906.0,15288.0,1290.0,2056.0,1311.0,2119.0,2029.0,2609.0,2033.0,577.0,1264.0,4416.0,,,,,,,,,,,,,,,
1071,12759.0,2241.0,5274.0,3284.0,1225.0,735.0,15144.0,2061.0,2880.0,1529.0,2363.0,2043.0,1823.0,1053.0,384.0,1008.0,4334.0,,,,,,,,,,,,,,,
1072,8971.0,1995.0,3752.0,2172.0,610.0,442.0,10375.0,1293.0,2238.0,978.0,1547.0,1493.0,1220.0,674.0,198.0,734.0,2832.0,,,,,,,,,,,,,,,
1073,6044.0,1052.0,2819.0,1458.0,403.0,312.0,7097.0,830.0,1262.0,643.0,968.0,992.0,960.0,513.0,230.0,699.0,1989.0,,,,,,,,,,,,,,,
1074,8612.0,1794.0,3591.0,2268.0,540.0,419.0,10214.0,1299.0,2351.0,1120.0,1550.0,1082.0,1439.0,602.0,290.0,481.0,2305.0,,,,,,,,,,,,,,,
1075,3297.0,741.0,1401.0,849.0,152.0,154.0,3862.0,390.0,788.0,704.0,619.0,397.0,471.0,347.0,61.0,85.0,918.0,,,,,,,,,,,,,,,
1076,5654.0,881.0,2491.0,1492.0,438.0,352.0,6635.0,954.0,1174.0,752.0,910.0,811.0,771.0,656.0,199.0,408.0,2059.0,,,,,,,,,,,,,,,
1077,6547.0,902.0,2636.0,2092.0,519.0,398.0,7331.0,735.0,1730.0,746.0,1077.0,966.0,637.0,667.0,172.0,601.0,1174.0,,,,,,,,,,,,,,,
1078,30234.0,3219.0,11706.0,10025.0,3352.0,1932.0,35989.0,4229.0,5459.0,2963.0,5503.0,5170.0,5030.0,3653.0,1276.0,2706.0,11063.0,,,,,,,,,,,,,,,
1079,14446.0,3901.0,5567.0,3333.0,856.0,789.0,16912.0,2607.0,3999.0,1801.0,3425.0,1770.0,1737.0,764.0,284.0,525.0,4582.0,,,,,,,,,,,,,,,
1080,9518.0,2470.0,3859.0,2034.0,565.0,590.0,11086.0,2056.0,2346.0,1176.0,1847.0,1258.0,1030.0,571.0,273.0,529.0,3017.0,,,,,,,,,,,,,,,
1081,13137.0,2500.0,5721.0,3213.0,926.0,777.0,15422.0,1791.0,3352.0,1641.0,2522.0,1925.0,1865.0,1255.0,262.0,809.0,4743.0,,,,,,,,,,,,,,,
1082,10227.0,1586.0,3117.0,3794.0,1056.0,674.0,11742.0,1147.0,2204.0,1135.0,2048.0,1435.0,1481.0,976.0,488.0,828.0,3104.0,,,,,,,,,,,,,,,
1083,17839.0,1978.0,4936.0,5079.0,3480.0,2366.0,21048.0,2303.0,2768.0,1856.0,3376.0,2610.0,2864.0,1988.0,865.0,2418.0,5882.0,,,,,,,,,,,,,,,
1084,83393.0,6077.0,22478.0,28578.0,16762.0,9498.0,99303.0,10765.0,13178.0,7690.0,13411.0,10391.0,13399.0,10349.0,4220.0,15900.0,34111.0,,,,,,,,,,,,,,,
1085,7534.0,2397.0,2845.0,1618.0,386.0,288.0,8710.0,2134.0,2113.0,889.0,1420.0,650.0,773.0,403.0,103.0,225.0,2308.0,,,,,,,,,,,,,,,
1086,33487.0,4551.0,9834.0,9059.0,5790.0,4253.0,41057.0,4881.0,7624.0,3934.0,5893.0,5012.0,5345.0,3090.0,1231.0,4047.0,12783.0,,,,,,,,,,,,,,,
1087,21046.0,6743.0,7859.0,4347.0,967.0,1130.0,25274.0,5242.0,6495.0,3115.0,3699.0,2427.0,2236.0,1115.0,293.0,652.0,7438.0,,,,,,,,,,,,,,,
1088,10958.0,2554.0,4562.0,2572.0,715.0,555.0,12748.0,2526.0,2279.0,1823.0,2025.0,1332.0,1189.0,725.0,317.0,532.0,3687.0,,,,,,,,,,,,,,,
1089,16385.0,4101.0,6272.0,4103.0,1035.0,874.0,18889.0,3253.0,4254.0,2196.0,3423.0,1820.0,1881.0,1004.0,301.0,757.0,4951.0,,,,,,,,,,,,,,,
1090,6743.0,1139.0,3140.0,1863.0,406.0,195.0,7721.0,1029.0,1331.0,707.0,1459.0,979.0,823.0,631.0,290.0,472.0,1931.0,,,,,,,,,,,,,,,
1091,45970.0,5390.0,13930.0,15512.0,6875.0,4263.0,53326.0,6124.0,9001.0,6217.0,9012.0,5723.0,6356.0,3860.0,1765.0,5268.0,14327.0,,,,,,,,,,,,,,,
1092,43282.0,10540.0,16546.0,10573.0,2963.0,2660.0,50937.0,8303.0,11604.0,5868.0,8283.0,5391.0,4661.0,2901.0,1098.0,2828.0,12943.0,,,,,,,,,,,,,,,
1093,31052.0,4278.0,9723.0,9507.0,4447.0,3097.0,36871.0,4599.0,5472.0,3052.0,5874.0,4150.0,4996.0,3233.0,1184.0,4311.0,10838.0,,,,,,,,,,,,,,,
1094,23150.0,4845.0,8325.0,5374.0,2503.0,2103.0,28737.0,4866.0,6972.0,3315.0,4706.0,3131.0,2523.0,1644.0,485.0,1095.0,8725.0,,,,,,,,,,,,,,,
1095,15096.0,1777.0,5646.0,4647.0,1974.0,1052.0,17619.0,2182.0,2745.0,1300.0,2393.0,2538.0,3050.0,1672.0,577.0,1162.0,5320.0,,,,,,,,,,,,,,,
1096,13844.0,2709.0,6184.0,3577.0,754.0,620.0,16229.0,2073.0,3349.0,1973.0,2612.0,1903.0,1785.0,1319.0,439.0,776.0,4634.0,,,,,,,,,,,,,,,
1097,26169.0,6557.0,9187.0,7132.0,1653.0,1640.0,30671.0,5297.0,7693.0,3779.0,4693.0,3184.0,2575.0,1766.0,572.0,1112.0,8120.0,,,,,,,,,,,,,,,
1098,34882.0,4421.0,10673.0,9874.0,6189.0,3725.0,41153.0,3420.0,6335.0,3697.0,5806.0,5327.0,7053.0,4615.0,1664.0,3236.0,10389.0,,,,,,,,,,,,,,,
1099,110904.0,11568.0,32281.0,34169.0,20853.0,12033.0,130732.0,12868.0,20094.0,11467.0,18381.0,16822.0,18793.0,12465.0,5105.0,14737.0,39552.0,,,,,,,,,,,,,,,
1100,12234.0,3259.0,5128.0,2912.0,559.0,376.0,14454.0,3590.0,4511.0,1675.0,2090.0,1103.0,619.0,497.0,146.0,223.0,3949.0,,,,,,,,,,,,,,,
1101,53820.0,7089.0,15223.0,15188.0,9966.0,6354.0,72796.0,8444.0,17594.0,7701.0,9748.0,7180.0,8456.0,6407.0,2184.0,5082.0,18605.0,,,,,,,,,,,,,,,
1102,8805.0,2592.0,3056.0,2264.0,424.0,469.0,10335.0,2130.0,2657.0,906.0,1640.0,841.0,991.0,704.0,199.0,267.0,2970.0,,,,,,,,,,,,,,,
1103,6925.0,1578.0,2729.0,1779.0,391.0,448.0,8008.0,939.0,1769.0,1045.0,1340.0,1030.0,1123.0,393.0,99.0,270.0,2364.0,,,,,,,,,,,,,,,
1104,3095.0,924.0,1164.0,521.0,206.0,280.0,3714.0,759.0,1130.0,311.0,525.0,343.0,287.0,188.0,73.0,98.0,942.0,,,,,,,,,,,,,,,
1105,13920.0,2470.0,3962.0,3768.0,1470.0,2250.0,20464.0,3339.0,4901.0,2267.0,3314.0,2112.0,2113.0,999.0,401.0,1018.0,4568.0,,,,,,,,,,,,,,,
1106,12102.0,1839.0,5061.0,3369.0,1176.0,657.0,14279.0,1910.0,2297.0,1394.0,2696.0,1851.0,1859.0,1060.0,353.0,859.0,4368.0,,,,,,,,,,,,,,,
1107,16512.0,2607.0,6441.0,4353.0,1675.0,1436.0,20713.0,2528.0,4665.0,2829.0,3562.0,2750.0,1803.0,1177.0,401.0,998.0,5650.0,,,,,,,,,,,,,,,
1108,24963.0,3524.0,8693.0,7338.0,3608.0,1800.0,29055.0,3371.0,4721.0,2913.0,4882.0,3645.0,3472.0,2511.0,1041.0,2499.0,8129.0,,,,,,,,,,,,,,,
1109,8075.0,1798.0,3219.0,2044.0,564.0,450.0,9568.0,1464.0,1893.0,981.0,1486.0,1279.0,1091.0,669.0,192.0,513.0,3344.0,,,,,,,,,,,,,,,
1110,3435.0,567.0,1195.0,1142.0,318.0,213.0,3973.0,438.0,650.0,544.0,681.0,632.0,462.0,246.0,68.0,252.0,1094.0,,,,,,,,,,,,,,,
1111,7122.0,1673.0,2950.0,1662.0,504.0,333.0,8363.0,910.0,1777.0,1174.0,1221.0,891.0,837.0,595.0,268.0,690.0,2737.0,,,,,,,,,,,,,,,
1112,7129.0,2019.0,2823.0,1570.0,397.0,320.0,8328.0,1357.0,1595.0,1047.0,1828.0,819.0,785.0,391.0,221.0,285.0,2249.0,,,,,,,,,,,,,,,
1113,10241.0,2456.0,4779.0,1991.0,640.0,375.0,11817.0,1585.0,3337.0,1368.0,1824.0,1189.0,1220.0,654.0,259.0,381.0,3092.0,,,,,,,,,,,,,,,
1114,5790.0,1096.0,2651.0,1352.0,493.0,198.0,6885.0,897.0,1237.0,739.0,1175.0,751.0,707.0,670.0,190.0,519.0,2164.0,,,,,,,,,,,,,,,
1115,12191.0,2404.0,4662.0,3209.0,1178.0,738.0,14044.0,1592.0,2522.0,1401.0,2541.0,1529.0,1937.0,1141.0,298.0,1083.0,3832.0,,,,,,,,,,,,,,,
1116,25554.0,3346.0,9285.0,8533.0,2660.0,1730.0,29550.0,4051.0,5694.0,3355.0,3978.0,3407.0,3249.0,2412.0,1046.0,2358.0,7813.0,,,,,,,,,,,,,,,
1117,9848.0,2228.0,3625.0,2679.0,756.0,560.0,11559.0,1596.0,2096.0,1437.0,1971.0,1423.0,1201.0,758.0,412.0,665.0,3550.0,,,,,,,,,,,,,,,
1118,62597.0,5955.0,19592.0,17052.0,12818.0,7180.0,75596.0,7757.0,13198.0,5812.0,10415.0,8390.0,10660.0,7495.0,2836.0,9033.0,19628.0,,,,,,,,,,,,,,,
1119,18647.0,3934.0,7383.0,4726.0,1594.0,1010.0,22338.0,3928.0,5060.0,2526.0,3359.0,2661.0,2074.0,1222.0,346.0,1162.0,6138.0,,,,,,,,,,,,,,,
1120,5538.0,1300.0,2504.0,1321.0,240.0,173.0,6377.0,2198.0,1468.0,583.0,769.0,513.0,303.0,275.0,49.0,219.0,1411.0,,,,,,,,,,,,,,,
1121,15908.0,2761.0,7120.0,4054.0,1233.0,740.0,19234.0,2367.0,3885.0,1981.0,3387.0,2178.0,2356.0,1321.0,493.0,1266.0,6723.0,,,,,,,,,,,,,,,
