,B19058_002E,zip code tabulation area
449,92.0,02052
450,170.0,02053
451,70.0,02054
452,81.0,02056
453,103.0,02061
454,1047.0,02062
455,333.0,02066
456,275.0,02067
457,64.0,02071
458,1255.0,02072
459,262.0,02081
460,132.0,02090
461,171.0,02093
462,9.0,02108
463,75.0,02109
464,64.0,02110
465,753.0,02111
466,146.0,02113
467,460.0,02114
468,1960.0,02115
469,1035.0,02116
470,2770.0,02118
471,4185.0,02119
472,1362.0,02120
473,4887.0,02121
474,2349.0,02122
475,5970.0,02124
476,3105.0,02125
477,2925.0,02126
478,2951.0,02127
479,3370.0,02128
480,1492.0,02129
481,2328.0,02130
482,1908.0,02131
483,890.0,02132
484,755.0,02134
485,2810.0,02135
486,2706.0,02136
487,450.0,02138
488,1585.0,02139
489,1129.0,02140
490,854.0,02141
491,87.0,02142
492,1027.0,02143
493,866.0,02144
494,1274.0,02145
495,3231.0,02148
496,3173.0,02149
497,3571.0,02150
498,2883.0,02151
499,829.0,02152
500,1561.0,02155
501,0.0,02163
502,3327.0,02169
503,608.0,02170
504,648.0,02171
505,672.0,02176
506,646.0,02180
507,1161.0,02184
508,420.0,02186
509,597.0,02188
510,1104.0,02189
511,384.0,02190
512,230.0,02191
513,33.0,02199
514,27.0,02203
515,44.0,02210
516,728.0,02215
517,6893.0,02301
518,2660.0,02302
519,179.0,02322
520,499.0,02324
521,482.0,02330
522,145.0,02332
523,482.0,02333
524,221.0,02338
525,319.0,02339
526,212.0,02341
527,338.0,02343
528,742.0,02346
529,288.0,02347
530,533.0,02351
531,203.0,02356
532,0.0,02357
533,345.0,02359
534,1855.0,02360
535,208.0,02364
536,0.0,02366
537,72.0,02367
538,2276.0,02368
539,617.0,02370
540,167.0,02375
541,155.0,02379
542,598.0,02382
543,175.0,02420
544,351.0,02421
545,559.0,02445
546,660.0,02446
547,631.0,02451
548,370.0,02452
549,873.0,02453
550,0.0,02457
551,195.0,02458
552,268.0,02459
553,239.0,02460
554,129.0,02461
555,16.0,02462
556,108.0,02464
557,211.0,02465
558,221.0,02466
559,122.0,02467
560,45.0,02468
561,919.0,02472
562,695.0,02474
563,312.0,02476
564,457.0,02478
565,177.0,02481
566,119.0,02482
