,B19058_002E,county,state
234,66542.0,019,06
235,47972.0,029,06
236,76357.0,059,06
237,21525.0,111,06
238,1743.0,009,06
239,4305.0,101,06
240,11712.0,081,06
241,2459.0,109,06
242,34256.0,077,06
243,1203.0,005,06
244,402.0,023,08
245,18290.0,001,08
246,722.0,021,08
247,150.0,027,08
248,2661.0,035,08
249,630.0,037,08
250,366.0,065,08
251,1148.0,067,08
252,599.0,081,08
253,202.0,097,08
254,851.0,105,08
255,72.0,017,08
256,500.0,011,08
257,221.0,025,08
258,56.0,033,08
259,27.0,111,08
260,33.0,057,08
261,9139.0,069,08
262,1065.0,075,08
263,1236.0,083,08
264,155.0,113,08
265,896.0,119,08
266,352.0,125,08
267,7308.0,013,08
268,365.0,039,08
269,1360.0,071,08
270,145.0,073,08
271,253.0,019,08
272,275.0,107,08
273,307.0,117,08
274,1533.0,003,08
275,1481.0,029,08
276,2376.0,043,08
277,12662.0,101,08
278,2315.0,085,08
279,1605.0,087,08
280,348.0,093,08
281,508.0,109,08
282,7349.0,077,08
283,921.0,099,08
284,15.0,053,08
285,26845.0,041,08
286,188.0,121,08
287,261.0,049,08
288,18565.0,005,08
289,1372.0,089,08
290,197.0,095,08
291,391.0,007,08
292,29701.0,031,08
293,82.0,061,08
294,560.0,055,08
295,227.0,009,08
296,477.0,015,08
297,206.0,047,08
298,276.0,063,08
299,1565.0,045,08
300,536.0,051,08
301,12236.0,059,08
302,8.0,079,08
303,110.0,091,08
304,193.0,103,08
305,175.0,115,08
306,9711.0,123,08
307,1069.0,014,08
308,52580.0,009,09
309,6699.0,005,09
310,56115.0,003,09
311,7426.0,015,09
312,13837.0,011,09
313,5850.0,007,09
314,4556.0,013,09
315,32906.0,001,09
316,22859.0,003,10
317,11322.0,005,10
318,10685.0,001,10
319,7604.0,113,12
320,15539.0,081,12
321,8962.0,017,12
322,3214.0,075,12
323,1426.0,003,12
324,31128.0,127,12
325,14629.0,073,12
326,94775.0,011,12
327,1581.0,079,12
328,2294.0,087,12
329,17968.0,033,12
330,11335.0,053,12
331,81544.0,057,12
332,7526.0,091,12
333,1657.0,123,12
334,1605.0,129,12
335,1722.0,133,12
336,56243.0,031,12
337,1699.0,007,12
338,26943.0,009,12
339,8346.0,019,12
340,380.0,067,12
341,17465.0,069,12
342,3350.0,089,12
343,49395.0,103,12
344,37099.0,105,12
345,14864.0,111,12
346,767.0,043,12
347,3240.0,051,12
348,6497.0,061,12
349,3072.0,063,12
350,59002.0,099,12
351,6125.0,109,12
352,15225.0,117,12
353,222898.0,086,12
354,10438.0,005,12
355,4082.0,035,12
356,801.0,037,12
