,NAME,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P004002,P013001,P013002,P013003,P015001,P017001,P031001,state,zip code tabulation area (or part)
5555,"ZCTA5 31627, Georgia",239.0,129.0,95.0,0.0,6.0,0.0,5.0,4.0,230.0,38.8,38.0,40.5,95.0,2.52,60.0,13,31627
5556,"ZCTA5 31629, Georgia",902.0,447.0,435.0,1.0,1.0,0.0,12.0,6.0,871.0,44.9,44.1,46.9,368.0,2.45,184.0,13,31629
5557,"ZCTA5 31630, Georgia",419.0,308.0,69.0,18.0,0.0,4.0,10.0,10.0,403.0,37.7,36.9,40.5,164.0,2.55,103.0,13,31630
5558,"ZCTA5 31632, Georgia",10295.0,8550.0,1344.0,30.0,90.0,6.0,111.0,164.0,9961.0,34.9,34.7,35.1,3725.0,2.75,3026.0,13,31632
5559,"ZCTA5 31634, Georgia",5844.0,3875.0,1693.0,26.0,13.0,0.0,163.0,74.0,5630.0,36.3,35.5,36.8,2204.0,2.58,1610.0,13,31634
5560,"ZCTA5 31635, Georgia",6560.0,4405.0,1807.0,22.0,81.0,2.0,112.0,131.0,6272.0,33.8,32.7,35.2,2361.0,2.67,1780.0,13,31635
5561,"ZCTA5 31636, Georgia",9539.0,7666.0,945.0,44.0,75.0,2.0,601.0,206.0,8389.0,36.9,35.5,38.2,3581.0,2.66,2493.0,13,31636
5562,"ZCTA5 31637, Georgia",2848.0,2332.0,364.0,6.0,11.0,1.0,99.0,35.0,2717.0,39.8,38.0,42.0,1117.0,2.55,650.0,13,31637
5563,"ZCTA5 31638, Georgia",1045.0,561.0,429.0,5.0,0.0,1.0,43.0,6.0,974.0,39.7,38.2,42.0,404.0,2.59,248.0,13,31638
5564,"ZCTA5 31639, Georgia",10537.0,8972.0,1168.0,38.0,56.0,3.0,173.0,127.0,10188.0,39.4,38.5,40.4,4108.0,2.52,2604.0,13,31639
5565,"ZCTA5 31641, Georgia",1831.0,1248.0,493.0,2.0,6.0,0.0,20.0,62.0,1776.0,39.7,40.0,39.3,674.0,2.72,451.0,13,31641
5566,"ZCTA5 31642, Georgia",4898.0,2887.0,848.0,13.0,16.0,21.0,1041.0,72.0,3470.0,32.9,32.0,33.9,1715.0,2.84,1447.0,13,31642
5567,"ZCTA5 31643, Georgia",8709.0,4357.0,3895.0,28.0,36.0,7.0,269.0,117.0,8231.0,39.0,36.9,41.0,3367.0,2.59,2195.0,13,31643
5568,"ZCTA5 31645, Georgia",5147.0,4284.0,571.0,30.0,20.0,0.0,133.0,109.0,4843.0,31.8,30.7,32.8,1877.0,2.74,1485.0,13,31645
5569,"ZCTA5 31647, Georgia",3535.0,2273.0,1069.0,7.0,26.0,3.0,105.0,52.0,3299.0,34.2,31.8,36.0,1239.0,2.83,1034.0,13,31647
5570,"ZCTA5 31648, Georgia",1040.0,668.0,122.0,37.0,9.0,1.0,176.0,27.0,736.0,30.2,28.5,31.8,349.0,2.98,309.0,13,31648
5571,"ZCTA5 31649, Georgia",1056.0,911.0,118.0,12.0,9.0,1.0,0.0,5.0,1049.0,38.0,39.1,37.3,399.0,2.65,279.0,13,31649
5572,"ZCTA5 31650, Georgia",3311.0,2053.0,722.0,26.0,10.0,3.0,436.0,61.0,2698.0,34.2,34.2,34.1,1206.0,2.75,959.0,13,31650
5573,"ZCTA5 31698, Georgia",2223.0,977.0,1090.0,1.0,15.0,1.0,130.0,9.0,2142.0,19.3,19.4,19.3,0.0,0.0,9.0,13,31698
5574,"ZCTA5 31699, Georgia",621.0,380.0,166.0,4.0,10.0,1.0,30.0,30.0,534.0,21.2,21.2,21.5,1.0,1.0,0.0,13,31699
5575,"ZCTA5 31701, Georgia",20552.0,3700.0,16475.0,42.0,82.0,6.0,50.0,197.0,20344.0,34.4,32.3,36.4,8097.0,2.43,5553.0,13,31701
5576,"ZCTA5 30115, Georgia",35672.0,32263.0,1419.0,121.0,387.0,5.0,859.0,618.0,33239.0,37.0,36.2,37.6,12135.0,2.89,10107.0,13,30115
5577,"ZCTA5 30116, Georgia",23156.0,17957.0,3801.0,76.0,180.0,2.0,646.0,494.0,21845.0,35.0,34.0,35.9,7887.0,2.86,6298.0,13,30116
5578,"ZCTA5 30117, Georgia",34296.0,23650.0,7750.0,138.0,292.0,5.0,1605.0,856.0,30936.0,31.5,30.2,33.1,12907.0,2.61,8046.0,13,30117
5579,"ZCTA5 30118, Georgia",2373.0,1175.0,1047.0,7.0,48.0,3.0,22.0,71.0,2267.0,19.6,19.6,19.6,1.0,3.0,61.0,13,30118
5580,"ZCTA5 30120, Georgia",38085.0,29573.0,5253.0,182.0,239.0,29.0,1887.0,922.0,34237.0,35.6,34.7,36.6,13641.0,2.77,10686.0,13,30120
5581,"ZCTA5 30121, Georgia",22078.0,17348.0,2788.0,78.0,289.0,23.0,1051.0,501.0,20164.0,35.2,33.8,36.8,8046.0,2.66,5506.0,13,30121
5582,"ZCTA5 30122, Georgia",21561.0,8818.0,10825.0,61.0,345.0,37.0,962.0,513.0,19494.0,34.0,33.5,34.5,8452.0,2.55,5751.0,13,30122
