,NAME,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P004002,P013001,P013002,P013003,P015001,P017001,P031001,state,zip code tabulation area (or part)
492,"ZCTA5 36352, Alabama",4885.0,4342.0,271.0,57.0,23.0,3.0,57.0,132.0,4721.0,40.1,38.9,41.4,1934.0,2.52,1170.0,01,36352
493,"ZCTA5 36353, Alabama",1968.0,1475.0,411.0,4.0,8.0,0.0,43.0,27.0,1897.0,41.7,40.9,42.9,786.0,2.5,450.0,01,36353
494,"ZCTA5 36360, Alabama",20157.0,14071.0,5173.0,145.0,159.0,6.0,145.0,458.0,19601.0,41.5,39.7,43.3,8361.0,2.37,4650.0,01,36360
495,"ZCTA5 36362, Alabama",4637.0,3604.0,553.0,38.0,62.0,11.0,144.0,225.0,4023.0,23.8,24.2,23.1,1228.0,3.33,1732.0,01,36362
496,"ZCTA5 36370, Alabama",972.0,849.0,101.0,4.0,0.0,0.0,2.0,16.0,957.0,41.1,40.8,41.3,384.0,2.53,208.0,01,36370
497,"ZCTA5 36371, Alabama",720.0,607.0,83.0,8.0,3.0,0.0,7.0,12.0,706.0,46.1,47.0,44.0,308.0,2.34,137.0,01,36371
498,"ZCTA5 36373, Alabama",581.0,330.0,243.0,0.0,0.0,1.0,2.0,5.0,568.0,45.9,44.2,46.8,244.0,2.38,109.0,01,36373
499,"ZCTA5 36374, Alabama",970.0,870.0,83.0,5.0,1.0,0.0,4.0,7.0,962.0,43.9,42.6,46.3,392.0,2.47,198.0,01,36374
500,"ZCTA5 36375, Alabama",7390.0,6353.0,718.0,48.0,10.0,0.0,147.0,114.0,7041.0,40.2,39.7,40.6,2940.0,2.51,1778.0,01,36375
501,"ZCTA5 36376, Alabama",2445.0,1816.0,497.0,14.0,4.0,1.0,77.0,36.0,2328.0,40.0,39.0,41.0,945.0,2.57,585.0,01,36376
502,"ZCTA5 36401, Alabama",8314.0,3599.0,4534.0,26.0,11.0,0.0,80.0,64.0,8189.0,41.3,39.7,42.5,3488.0,2.37,2027.0,01,36401
503,"ZCTA5 36420, Alabama",10673.0,8509.0,1807.0,58.0,79.0,0.0,52.0,168.0,10472.0,39.9,37.8,42.5,4346.0,2.42,2530.0,01,36420
504,"ZCTA5 36421, Alabama",9241.0,8065.0,938.0,48.0,38.0,0.0,28.0,124.0,9152.0,43.0,41.0,44.4,3778.0,2.4,1966.0,01,36421
505,"ZCTA5 36425, Alabama",1008.0,177.0,821.0,5.0,2.0,0.0,0.0,3.0,1005.0,43.9,38.7,47.3,437.0,2.31,230.0,01,36425
506,"ZCTA5 36426, Alabama",16202.0,11577.0,4061.0,134.0,51.0,4.0,169.0,206.0,15919.0,40.4,39.1,42.0,6474.0,2.46,3867.0,01,36426
507,"ZCTA5 36432, Alabama",2420.0,1596.0,781.0,7.0,1.0,1.0,9.0,25.0,2399.0,44.8,44.4,45.1,1055.0,2.29,509.0,01,36432
508,"ZCTA5 36435, Alabama",579.0,88.0,489.0,0.0,0.0,0.0,0.0,2.0,577.0,41.3,41.4,41.2,248.0,2.33,149.0,01,36435
509,"ZCTA5 36436, Alabama",531.0,314.0,217.0,0.0,0.0,0.0,0.0,0.0,529.0,40.1,40.9,39.7,203.0,2.62,131.0,01,36436
510,"ZCTA5 36439, Alabama",583.0,538.0,25.0,10.0,0.0,0.0,0.0,10.0,580.0,31.3,29.9,32.4,212.0,2.75,179.0,01,36439
511,"ZCTA5 36441, Alabama",3576.0,2977.0,452.0,68.0,7.0,1.0,25.0,46.0,3507.0,40.1,39.5,40.6,1470.0,2.43,849.0,01,36441
512,"ZCTA5 36442, Alabama",3555.0,3077.0,363.0,18.0,12.0,1.0,15.0,69.0,3493.0,45.7,43.8,47.0,1492.0,2.33,774.0,01,36442
513,"ZCTA5 36444, Alabama",702.0,464.0,228.0,5.0,0.0,0.0,0.0,5.0,702.0,48.1,48.3,47.8,314.0,2.24,141.0,01,36444
514,"ZCTA5 36445, Alabama",5050.0,3522.0,1323.0,71.0,11.0,5.0,24.0,94.0,4993.0,40.5,40.0,41.0,2006.0,2.52,1282.0,01,36445
515,"ZCTA5 36454, Alabama",51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,51.8,46.5,59.5,21.0,2.43,8.0,01,36454
516,"ZCTA5 36446, Alabama",490.0,354.0,122.0,0.0,2.0,0.0,4.0,8.0,479.0,42.0,34.8,45.6,200.0,2.45,110.0,01,36446
517,"ZCTA5 36451, Alabama",4977.0,3259.0,1644.0,27.0,6.0,0.0,10.0,31.0,4922.0,40.4,39.4,41.6,1992.0,2.44,1156.0,01,36451
518,"ZCTA5 36453, Alabama",2198.0,2041.0,26.0,79.0,4.0,0.0,7.0,41.0,2163.0,45.6,44.9,46.2,904.0,2.43,470.0,01,36453
519,"ZCTA5 36455, Alabama",465.0,345.0,110.0,1.0,0.0,0.0,3.0,6.0,459.0,39.6,37.9,42.5,187.0,2.49,118.0,01,36455
520,"ZCTA5 36456, Alabama",1820.0,1383.0,382.0,4.0,3.0,0.0,6.0,42.0,1802.0,44.5,43.6,45.8,769.0,2.37,368.0,01,36456
521,"ZCTA5 36460, Alabama",10738.0,5498.0,4947.0,56.0,48.0,4.0,34.0,151.0,10625.0,39.2,36.6,41.4,4263.0,2.46,2730.0,01,36460
522,"ZCTA5 36467, Alabama",10058.0,8596.0,1199.0,83.0,22.0,0.0,28.0,130.0,9963.0,43.0,41.7,44.1,4139.0,2.39,2328.0,01,36467
523,"ZCTA5 36473, Alabama",106.0,103.0,3.0,0.0,0.0,0.0,0.0,0.0,106.0,40.0,39.5,40.0,43.0,2.47,28.0,01,36473
524,"ZCTA5 36474, Alabama",2926.0,2575.0,297.0,10.0,6.0,0.0,8.0,30.0,2900.0,43.0,41.3,44.2,1227.0,2.38,622.0,01,36474
525,"ZCTA5 36470, Alabama",98.0,38.0,47.0,2.0,1.0,0.0,0.0,10.0,98.0,45.0,43.5,45.5,46.0,2.13,23.0,01,36470
526,"ZCTA5 36471, Alabama",1257.0,383.0,859.0,5.0,0.0,0.0,1.0,9.0,1253.0,42.1,42.1,42.2,527.0,2.39,304.0,01,36471
527,"ZCTA5 36475, Alabama",2208.0,1331.0,824.0,8.0,2.0,0.0,3.0,40.0,2187.0,43.5,41.8,44.8,898.0,2.46,518.0,01,36475
528,"ZCTA5 36476, Alabama",51.0,24.0,27.0,0.0,0.0,0.0,0.0,0.0,51.0,47.8,47.8,48.0,20.0,2.55,6.0,01,36476
529,"ZCTA5 36481, Alabama",593.0,78.0,514.0,1.0,0.0,0.0,0.0,0.0,586.0,41.4,40.9,41.8,236.0,2.51,146.0,01,36481
530,"ZCTA5 36482, Alabama",1090.0,308.0,764.0,0.0,1.0,2.0,0.0,15.0,1082.0,42.9,42.6,43.0,449.0,2.43,236.0,01,36482
531,"ZCTA5 36477, Alabama",4946.0,4160.0,468.0,78.0,19.0,3.0,137.0,81.0,4707.0,40.8,39.0,42.6,2034.0,2.43,1166.0,01,36477
532,"ZCTA5 36480, Alabama",1773.0,1421.0,206.0,101.0,3.0,0.0,1.0,41.0,1759.0,43.5,41.8,45.3,706.0,2.51,417.0,01,36480
533,"ZCTA5 36483, Alabama",536.0,499.0,21.0,4.0,0.0,0.0,5.0,7.0,530.0,49.8,50.6,49.4,231.0,2.32,107.0,01,36483
534,"ZCTA5 36502, Alabama",18355.0,9062.0,7686.0,1097.0,37.0,7.0,142.0,324.0,17996.0,38.0,37.4,38.9,6135.0,2.52,3944.0,01,36502
535,"ZCTA5 36505, Alabama",1481.0,1126.0,272.0,48.0,2.0,3.0,2.0,28.0,1470.0,38.6,38.4,39.2,546.0,2.71,359.0,01,36505
