,B19058_002E,zip code tabulation area
907,0,3750
908,0,3751
909,11,3752
910,44,3753
911,33,3754
912,97,3755
913,20,3765
914,363,3766
915,3,3768
916,0,3770
917,8,3771
918,290,3773
919,86,3774
920,32,3777
921,8,3779
922,0,3780
923,17,3781
924,59,3782
925,228,3784
926,97,3785
927,763,3801
928,104,3809
929,23,3810
930,72,3811
931,25,3812
932,55,3813
933,221,3814
934,62,3816
935,125,3817
936,309,3818
937,94,3819
938,1067,3820
939,6,3823
940,126,3824
941,161,3825
942,0,3826
943,37,3827
944,79,3830
945,6,3832
946,439,3833
947,346,3835
948,15,3836
949,0,3837
950,32,3838
951,251,3839
952,11,3840
953,98,3841
954,331,3842
955,0,3844
956,51,3845
957,13,3846
958,0,3847
959,156,3848
960,71,3849
961,13,3850
962,248,3851
963,22,3852
964,0,3853
965,0,3854
966,86,3855
967,10,3856
968,134,3857
969,130,3858
970,110,3860
971,0,3861
972,72,3862
973,99,3864
974,108,3865
975,1470,3867
976,114,3868
977,37,3869
978,32,3870
979,0,3871
980,129,3872
981,26,3873
982,333,3874
983,0,3875
984,701,3878
985,71,3882
986,22,3883
987,79,3884
988,0,3885
989,165,3886
990,66,3887
991,11,3890
992,227,3894
993,245,3901
994,69,3902
995,176,3903
996,233,3904
997,40,3905
998,267,3906
999,21,3907
1000,252,3908
1001,179,3909
1002,0,3910
1003,16,3911
1004,126,4001
1005,251,4002
1006,11,4003
1007,1923,4005
1008,0,4006
1009,84,4008
1010,275,4009
1011,36,4010
1012,975,4011
1013,184,4015
1014,0,4017
1015,0,4019
1016,148,4020
1017,86,4021
1018,14,4022
1019,7,4024
1020,198,4027
1021,62,4029
1022,64,4030
1023,189,4032
1024,110,4037
1025,330,4038
1026,212,4039
1027,201,4040
1028,60,4041
1029,243,4042
1030,292,4043
1031,169,4046
1032,164,4047
1033,276,4048
1034,244,4049
1035,11,4050
1036,45,4051
1037,163,4055
1038,27,4056
1039,0,4057
1040,80,4061
1041,507,4062
1042,81,4063
1043,515,4064
1044,10,4066
1045,106,4068
1046,21,4069
1047,91,4071
1048,785,4072
1049,1774,4073
1050,328,4074
1051,102,4076
1052,91,4079
1053,268,4083
1054,136,4084
1055,54,4085
1056,337,4086
1057,89,4087
1058,65,4088
1059,406,4090
1060,35,4091
1061,1558,4092
1062,404,4093
1063,71,4095
1064,199,4096
1065,22,4097
1066,2408,4101
1067,1494,4102
1068,1601,4103
1069,126,4105
1070,1308,4106
1071,88,4107
1072,24,4108
1073,5,4109
1074,0,4110
1075,2168,4210
1076,26,4216
1077,229,4217
1078,106,4219
1079,176,4220
1080,69,4221
1081,74,4222
1082,286,4224
1083,12,4226
1084,0,4227
1085,30,4228
1086,18,4231
1087,0,4234
1088,86,4236
1089,4,4237
1090,52,4238
1091,157,4239
1092,4136,4240
1093,395,4250
1094,196,4252
1095,119,4253
1096,533,4254
1097,23,4255
1098,174,4256
1099,311,4257
1100,92,4258
1101,127,4259
1102,97,4260
1103,18,4261
1104,193,4263
1105,71,4265
1106,0,4267
1107,422,4268
1108,530,4270
1109,0,4271
1110,509,4274
1111,29,4275
1112,603,4276
1113,358,4280
1114,572,4281
1115,294,4282
1116,31,4284
1117,16,4285
1118,11,4286
1119,113,4287
1120,134,4289
1121,66,4290
1122,45,4292
1123,378,4294
1124,2525,4330
1125,78,4342
1126,0,4343
1127,309,4344
1128,690,4345
1129,205,4346
1130,126,4347
1131,211,4348
1132,52,4349
1133,195,4350
1134,82,4351
1135,126,4352
1136,184,4353
1137,68,4354
1138,96,4355
1139,289,4357
1140,258,4358
1141,51,4359
1142,28,4360
1143,139,4363
1144,413,4364
1145,3905,4401
1146,49,4406
1147,1,4408
1148,114,4410
1149,87,4411
1150,659,4412
1151,10,4413
1152,168,4414
1153,28,4415
1154,468,4416
1155,19,4417
1156,174,4418
1157,117,4419
1158,14,4421
1159,73,4422
1160,105,4424
1161,369,4426
1162,175,4427
1163,178,4428
1164,332,4429
1165,191,4430
1166,0,4431
1167,104,4434
1168,39,4435
1169,86,4438
1170,166,4441
1171,4,4442
1172,267,4443
1173,199,4444
1174,168,4448
1175,130,4449
1176,82,4450
1177,39,4451
1178,65,4453
1179,0,4454
1180,64,4455
1181,166,4456
1182,674,4457
1183,119,4459
1184,80,4460
1185,185,4461
1186,540,4462
1187,468,4463
1188,44,4464
1189,847,4468
1190,0,4469
1191,96,4471
1192,99,4472
1193,344,4473
1194,213,4474
1195,28,4475
1196,65,4476
1197,0,4478
1198,113,4479
1199,52,4481
1200,3,4485
1201,120,4487
1202,83,4488
1203,9,4489
1204,18,4490
1205,13,4491
1206,25,4492
1207,152,4493
1208,71,4495
1209,227,4496
1210,36,4497
1211,933,4530
1212,46,4535
1213,84,4537
1214,145,4538
1215,22,4539
1216,0,4541
1217,74,4543
1218,0,4544
1219,34,4547
1220,12,4548
1221,39,4551
1222,58,4553
1223,28,4554
1224,99,4555
1225,42,4556
1226,9,4558
1227,76,4562
1228,44,4563
1229,0,4564
1230,25,4568
1231,0,4570
1232,0,4571
1233,562,4572
1234,20,4573
1235,122,4574
1236,0,4575
1237,23,4576
1238,283,4578
1239,55,4579
1240,957,4605
1241,103,4606
1242,64,4607
1243,174,4609
1244,37,4611
1245,7,4612
1246,4,4613
1247,145,4614
1248,20,4616
1249,24,4617
1250,416,4619
1251,132,4622
1252,80,4623
1253,13,4624
1254,0,4625
1255,42,4626
1256,80,4627
1257,78,4628
1258,37,4629
1259,109,4630
1260,174,4631
1261,195,4634
1262,0,4635
1263,3,4637
1264,148,4640
1265,4,4642
1266,67,4643
1267,0,4644
1268,0,4645
1269,4,4646
1270,93,4648
1271,177,4649
1272,0,4650
1273,243,4652
1274,54,4653
1275,399,4654
1276,74,4655
1277,12,4657
1278,149,4658
1279,20,4660
1280,10,4662
1281,73,4664
1282,95,4666
1283,171,4667
1284,269,4668
1285,6,4669
1286,22,4671
1287,3,4673
1288,3,4674
1289,5,4675
1290,69,4676
1291,12,4677
1292,76,4679
1293,90,4680
1294,79,4681
1295,17,4683
1296,67,4684
1297,36,4685
1298,2,4686
1299,21,4691
1300,36,4693
1301,212,4694
1302,1038,4730
1303,132,4732
1304,12,4733
1305,59,4734
1306,40,4735
1307,964,4736
1308,54,4739
1309,82,4740
1310,0,4741
1311,359,4742
1312,360,4743
1313,61,4745
1314,69,4746
1315,122,4747
1316,256,4750
1317,272,4756
1318,203,4757
1319,124,4758
1320,91,4760
1321,44,4761
1322,40,4762
1323,74,4763
1324,1,4764
1325,110,4765
1326,16,4766
1327,24,4768
1328,1051,4769
1329,68,4772
1330,81,4773
1331,93,4774
1332,95,4776
1333,58,4777
1334,25,4779
1335,93,4780
1336,55,4781
1337,20,4783
1338,360,4785
1339,194,4786
1340,35,4787
1341,794,4841
1342,133,4843
1343,56,4847
1344,22,4848
1345,111,4849
1346,0,4851
1347,0,4852
1348,5,4853
1349,60,4854
1350,0,4855
1351,87,4856
1352,60,4858
1353,11,4859
1354,45,4860
1355,287,4861
1356,144,4862
1357,59,4863
1358,310,4864
1359,2615,4901
1360,125,4910
1361,250,4911
1362,109,4912
1363,837,4915
1364,108,4917
1365,8,4918
1366,141,4920
1367,222,4921
1368,154,4922
1369,72,4923
1370,221,4924
1371,4,4925
1372,0,4926
1373,333,4927
1374,160,4928
1375,99,4929
1376,563,4930
1377,51,4932
1378,0,4933
1379,2,4936
1380,687,4937
1381,627,4938
1382,118,4939
1383,0,4940
1384,93,4941
1385,157,4942
1386,222,4943
1387,0,4944
1388,74,4945
1389,87,4947
1390,71,4949
1391,548,4950
1392,65,4951
1393,106,4952
1394,355,4953
