,B06009_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B06010_001E,B06010_002E,B06010_004E,B06010_005E,B06010_006E,B06010_007E,B06010_008E,B06010_009E,B06010_010E,B06010_011E,B09010_001E,county,state
1733,5858,496,2176,2048,866,272,6671,465,1051,703,1053,828,1203,584,244,540,1684,147,31
1734,4425,343,1748,1444,682,208,5088,293,842,573,749,668,824,530,180,429,1551,93,31
1735,7159,566,2471,2622,1061,439,8234,445,1227,777,1380,1287,1451,743,219,705,2446,89,31
1736,3395,372,1163,1241,506,113,3941,261,725,387,721,487,606,441,108,205,1098,65,31
1737,1484,85,504,538,279,78,1717,65,275,135,283,256,270,216,58,159,398,73,31
1738,8783,1373,3024,3205,802,379,11379,1246,2139,958,1747,1860,1683,898,296,552,3505,151,31
1739,111217,5360,23740,38210,28689,15218,133823,12039,17951,8424,14974,16177,19269,16494,7038,21457,48973,153,31
1740,3830,519,1240,1458,413,200,4927,811,1108,395,770,500,609,314,144,276,2515,173,31
1741,13730,533,4020,4950,3100,1127,16418,1442,2619,1067,1837,1944,2494,2159,690,2166,4918,177,31
1742,1516,88,586,536,247,59,1674,99,343,136,334,183,272,126,70,111,468,15,31
1743,4142,324,1394,1593,593,238,4685,200,729,337,833,978,667,442,114,385,1262,31,31
1744,24593,2651,8801,8464,3076,1601,29277,2218,5107,2828,4682,4075,4494,2675,913,2285,8624,53,31
1745,4053,322,1532,1422,571,206,4707,364,783,395,675,685,688,520,110,487,1075,59,31
1746,16340,1731,5115,6504,2048,942,19281,2274,3662,1736,2868,2385,2088,1540,708,2020,5574,1,32
1747,36100,2329,8949,15013,6139,3670,40710,3901,5622,3806,5786,4810,5620,4250,1719,5196,8475,5,32
1748,3897,650,1528,1202,275,242,4469,589,605,325,544,366,501,625,151,763,1612,15,32
1749,5137,983,1812,1639,381,322,5723,1980,851,348,553,540,457,476,187,331,1113,27,32
1750,818,79,365,237,110,27,920,96,95,116,223,119,133,43,25,70,202,9,32
1751,1265,111,543,440,135,36,1400,199,153,143,121,138,89,165,87,305,406,11,32
1752,10965,1830,3793,3672,1009,661,13164,1811,1974,1003,1699,1335,1418,1102,577,2245,4676,13,32
1753,3290,452,1140,1237,303,158,3695,483,627,421,463,470,649,310,99,173,908,21,32
1754,7022,1061,2532,2405,693,331,8157,2052,1193,518,1071,646,869,632,440,736,2030,33,32
1755,33076,5370,9420,12448,3848,1990,40373,5449,5358,2649,4851,3861,4820,3703,1901,7781,14474,7,32
1756,3643,430,1203,1218,510,282,4515,832,969,309,476,444,619,391,160,315,963,17,32
1757,33362,4926,12231,12379,2766,1060,37329,5232,6641,4633,5859,4355,3832,3199,1006,2572,7391,23,32
1758,3228,171,1015,1303,531,208,3507,294,453,384,575,379,347,529,146,400,463,29,32
1759,305049,37879,72480,103810,57226,33654,363082,43993,49665,30799,53532,46662,46355,31882,14990,45204,98785,31,32
1760,1428870,210394,411807,473916,222051,110702,1695346,266948,236860,135387,252355,220892,218786,136018,57125,170975,499123,3,32
1761,38664,5016,11131,14177,5006,3334,45014,5071,7168,4276,6556,5900,6410,4209,1668,3756,11144,510,32
1762,37297,5406,11787,14633,3580,1891,42897,5894,6115,4730,6789,4998,5843,3892,1218,3418,11504,19,32
1763,52603,3720,16649,15095,10363,6776,64691,4441,12106,5499,9496,8328,9194,6424,2400,6803,13857,5,33
1764,104448,7010,29204,31512,22026,14696,124323,11898,18045,10146,15978,13816,18204,13230,5729,17277,29203,13,33
1765,62303,4647,17447,15712,12183,12314,77006,5848,14790,7056,10980,8615,10116,6706,3010,9885,14981,9,33
1766,217737,10843,55276,63258,55341,33019,253412,20058,32173,15645,31052,26145,34748,27229,13778,52584,61231,15,33
1767,44469,3389,13123,13964,8666,5327,51028,4372,7024,4623,7394,6343,7250,5283,2157,6582,11541,1,33
1768,31540,2926,11841,8591,5232,2950,36213,3288,4610,3218,5853,4585,5668,3771,1479,3741,8366,19,33
1769,283506,23276,76015,80644,66236,37335,335814,30596,46586,25020,42308,37325,46249,33734,15858,58138,86411,11,33
1770,81763,6179,22569,23841,18165,11009,106416,7888,20996,8798,13944,11913,15283,9746,3951,13897,24219,17,33
1771,24528,2876,9839,7336,3033,1444,27838,2402,4943,2954,4953,3942,3715,2359,744,1826,5336,7,33
1772,36574,2412,10928,10791,7979,4464,41306,2366,6983,4035,6119,5336,6015,3978,1427,5047,7878,3,33
1773,436169,31229,107712,105334,115874,76020,516662,62310,72103,34729,56680,45373,49841,48306,22825,124495,137723,25,34
1774,250034,30352,61587,54370,53953,49772,307346,41703,50926,20413,37093,28422,29823,27186,12927,58853,80255,21,34
1775,101164,5677,31745,28991,23533,11218,119678,13477,15499,8286,14121,11441,13222,11840,5869,25923,30063,37,34
1776,104613,23126,41019,25455,10464,4549,124100,15307,26108,12074,21101,13546,13473,9209,3566,9716,36690,11,34
1777,230407,13038,48614,46368,66537,55850,271958,35756,32951,15305,26296,23283,26789,24384,12006,75188,75625,35,34
1778,534516,78743,151827,122028,109961,71957,640923,109098,99918,50749,83016,61519,65188,50367,22477,98591,190675,13,34
1779,406087,35850,139381,115577,76806,38473,472584,52336,65990,39146,69528,50231,55303,46175,21098,72777,139026,29,34
1780,187294,25650,61797,50065,33494,16288,223945,27073,36551,20564,34245,25991,24991,18778,7833,27919,59612,1,34
1781,198621,14834,67125,55106,40959,20597,237663,25674,35709,17280,28498,22815,26826,23995,12135,44731,66071,15,34
1782,572917,61515,147854,122864,142318,98366,685536,125105,82673,42744,74907,62775,71566,61899,30331,133536,183188,23,34
1783,44330,5732,16840,12440,6440,2878,52283,6243,7872,4307,7190,5519,6227,5248,2234,7443,13983,33,34
1784,336045,57288,116225,71765,60664,30103,408102,74312,60683,33699,54990,39773,40798,32126,15781,55940,122904,31,34
1785,69911,6436,23086,18502,14444,7443,80785,6569,13421,7212,11712,9223,9648,8322,3079,11599,16829,9,34
1786,348322,40291,106856,92875,68485,39815,413435,50642,64342,33887,54712,42720,47883,38656,17812,62781,117792,7,34
1787,659670,52700,157643,133407,196349,119571,773386,116285,95345,51505,79355,63598,76872,71952,33732,184742,201799,3,34
1788,377040,52951,110261,85379,77535,50914,448233,64625,63226,32151,59854,44532,47895,38527,18244,79179,131230,39,34
1789,75330,6939,23732,20815,15509,8335,89191,9611,13031,5859,11552,8506,10805,9149,4273,16405,22347,41,34
1790,481845,78305,126237,87836,118853,70614,561097,94066,77394,43280,73788,51847,54663,47292,21918,96849,138634,17,34
1791,88545,4481,19230,19913,26800,18121,105817,12906,13663,5747,9691,8618,9495,9451,5319,30927,25141,19,34
1792,313495,20696,90581,86923,74439,40856,370956,44099,49294,24752,41292,36432,43507,39045,19020,73515,95280,5,34
1793,347344,20949,73245,70471,106554,76125,410735,50897,50523,23920,40261,32034,39465,39398,18382,115855,109324,27,34
1794,81304,13269,25719,30483,6752,5081,98749,18110,18810,8845,14106,9856,9955,7448,2459,9160,35076,45,35
1795,5761,901,2317,1656,485,402,6821,682,1914,853,1365,715,484,358,160,290,1864,37,35
1796,14662,1267,4261,4789,2907,1438,16446,2083,3032,1971,2944,1571,1909,1087,490,1359,3596,27,35
1797,41186,8951,11193,13223,5149,2670,50886,7515,10781,5862,7271,5551,6023,3298,1392,3193,17440,5,35
1798,41617,11272,13007,11874,3292,2172,51682,10592,8249,4343,6820,3920,5506,4272,2299,5681,20914,25,35
1799,108259,12043,24126,27236,22812,22042,124215,16851,15907,10482,17084,14212,14755,11569,4942,18413,28255,49,35
1800,2989,649,1192,672,296,180,3450,641,549,335,699,291,501,129,78,227,862,59,35
1801,8689,1385,2711,2924,1121,548,9709,634,2466,1547,1712,1293,1055,402,202,398,1823,51,35
1802,10962,2544,3717,2561,1309,831,13737,2028,3398,2290,2153,1160,1168,745,239,556,3947,53,35
1803,11004,2260,2957,3093,1488,1206,15336,2364,3996,1547,2359,1557,1360,1085,325,743,4680,41,35
1804,12704,260,1272,2857,3196,5119,14678,1459,2178,954,966,839,975,1325,579,5403,4160,28,35
1805,26604,3910,8722,9061,3186,1725,31729,7783,5212,3292,4186,3294,3317,2137,775,1733,9430,39,35
1806,19478,3792,5506,6367,1979,1834,23767,4774,5278,2915,3851,2198,2361,1260,427,703,5531,47,35
1807,42409,6579,12202,15862,4319,3447,52093,7529,11322,5531,8513,5741,5096,3482,1526,3353,15431,35,35
1808,50564,9020,16747,16538,5302,2957,60690,10607,12428,6263,8347,6881,6867,3973,1523,3801,18465,61,35
1809,10996,1773,3609,3669,1299,646,12909,2277,2737,1584,2140,1262,1025,1138,207,539,3249,57,35
1810,458214,52895,106306,145820,84115,69078,547574,76898,88192,50870,78426,62202,66169,43610,19284,61923,152598,1,35
1811,17996,3478,5942,6349,1548,679,21608,4107,4496,2687,3106,2424,2474,811,369,1134,6509,6,35
1812,1371,176,494,559,78,64,1641,319,317,128,293,121,126,110,83,144,486,11,35
1813,3418,763,1323,885,262,185,3733,447,738,507,888,423,412,82,134,102,824,19,35
1814,2958,143,1146,905,507,257,3166,374,647,378,593,328,420,212,99,115,523,3,35
1815,3115,657,1041,969,294,154,3594,502,883,393,613,457,317,207,65,157,1024,23,35
1816,15549,5123,4762,3466,1342,856,18836,2544,5668,2384,2887,1751,1409,889,470,834,6428,29,35
1817,43373,10951,14948,12777,2572,2125,54771,15507,13294,5105,7066,4444,4127,2157,693,2378,21461,31,35
1818,93967,9022,23737,32959,16453,11796,111188,18977,17004,9196,14559,11080,13382,9285,4402,13303,33659,43,35
1819,24305,3043,6462,8064,3897,2839,27724,3096,6380,3318,4441,3036,3184,1766,663,1840,6159,55,35
1820,20168,2590,5191,6942,3044,2401,23446,2827,4998,2796,3620,2593,2521,1503,798,1790,5949,17,35
1821,30517,5161,8166,11117,3952,2121,38795,5298,7699,4006,6504,4937,3931,2515,832,3073,13451,9,35
1822,9223,1052,3020,3262,1194,695,10583,1000,2465,1536,1752,1271,1079,504,280,696,2331,7,35
